Wind Force,Max Acceleration (m/s^2),Max Angular Velocity (rad/s),Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Max Velocity (m/s),Max Accel from Vel (m/s^2)
11.832572115618106,9.810000000518635,3.595048996983385e-11,400.0011339217531,-5.599999999999998,0.37500690763532274,-2.689667721165655e-13,1.0,-2.1920704262342772e-10,6.979686702733995e-05,0.4997287537789117,49.97287537789117
12.141163237647223,59.671488228898326,0.22652288808731752,400.0003372597601,-5.6,0.35900243601201964,-6.813503260814505e-13,1.0,-2.3828382549534904e-14,7.547059262881859e-06,0.49972875476001544,49.97287547600155
23.01095178319219,438.4766230537699,6.485859364895455,400.5987181943756,-5.6,0.19154007240369678,-9.586736640549857e-15,0.9999999999999999,4.094600292257283e-15,1.6283888337843613,2.927780653276501,431.1842710238588
17.030402365980045,361.1097409358074,5.703184556550048,400.5447346466734,-5.599999999999935,0.1886185033415248,-1.628693867771114e-13,1.0,-1.0094869514591008e-13,1.5155079662180255,2.5828707825796644,354.1346110689486
17.625666429471583,375.24698332187444,5.620277161188468,400.55765051374,-5.600000000000056,0.187967510007627,1.9809985166316047e-13,1.0,1.9176894755335366e-13,1.5373518966268775,2.6558476483414917,368.1511550821146
9.871609376451284,59.67148767651574,0.16611702037713344,400.00027421562044,-5.6,0.35900243601201964,-1.282046225307491e-12,0.9999999999999999,1.6313752014967994e-14,6.136283610215738e-06,0.4997287481346366,49.972874813463655
5.802926729107705,59.671486971379124,0.07539595339107215,400.0001611949068,-5.6,0.35900243601201964,-1.9380174752907176e-12,0.9999999999999999,6.713337739227564e-13,3.607152878652455e-06,0.4997287396770981,49.972873967709816
17.035364431061353,385.2698175723323,5.234731550055327,400.5719272782373,-5.600000000000065,0.17373404270438084,1.935324898057679e-13,1.0,1.6800594316717425e-13,1.55973197086693,2.741461898998238,378.16008460096276
13.012509398893815,59.67148847123371,0.20581860687826103,400.0003614641952,-5.6,0.35900243601201964,-5.8611463824023e-13,1.0,3.5987598375625874e-14,8.08869608867018e-06,0.49972875766663033,49.97287576666303
15.586683275261109,374.2312605973564,5.489851817801505,400.55619436854477,-5.5999999999999295,0.17455195242260868,-1.6912676198141274e-13,1.0,-9.337421085058955e-14,1.5677960199415464,2.6061404451211,366.93500020354634
10.754381439512482,59.671487877836284,0.1958189402283734,400.0002987374466,-5.6,0.35900243601201964,-1.2393685019298022e-12,0.9999999999999999,2.4055500963435044e-13,6.685022882158075e-06,0.4997287505493128,49.972875054931286
19.378800840707008,390.9278929821321,5.416053056783363,400.5753291984032,-5.6,0.18289204020528704,1.3420048755176037e-14,1.0,9.82173185127222e-16,1.5430701052998033,2.825154307746194,384.0268378343819
7.229604988881567,59.67148717695852,0.0998275857756186,400.0002008254725,-5.6,0.35900243601201964,-1.799235340289402e-12,1.0,2.607178517368844e-13,4.493989268611475e-06,0.4997287421428551,49.97287421428551
15.766719389288568,370.51097716034633,5.729546936364061,400.5523300577655,-5.6,0.17861704338417128,-1.9000829961382245e-14,1.0,3.7847389374706684e-15,1.5650821577510599,2.5645253813194677,363.20463531053554
10.704374746946469,59.67148786597157,0.19853642058040874,400.0002973483503,-5.6,0.35900243601201964,-9.238260620032262e-13,1.0,1.0320821306777472e-13,6.653938259956412e-06,0.49972875040700515,49.972875040700515
8.80086139178969,59.67148745545388,0.15434571944643763,400.00024447216,-5.6,0.35900243601201964,-8.407054483896605e-13,0.9999999999999999,-1.6619114010871546e-14,5.470696768358643e-06,0.4997287454831794,49.97287454831794
14.626592965724594,367.8797225855156,5.595080894430219,400.54899180162363,-5.600000000000045,0.17422619223206565,1.1330986043351741e-13,1.0,4.8538487670518575e-14,1.5705024778539052,2.530896090983847,360.46038453240976
13.771505201238535,355.2307480814278,5.6231706297794695,400.5399190006201,-5.599999999998904,0.18097273498782784,-2.506053037528979e-12,1.0,-1.1239805883050143e-12,1.5504036583252887,2.4354907471315665,347.68266374488934
13.14009697575018,59.67148850812707,0.20633171660232835,400.0003650083495,-5.6,0.35900243601201964,-8.726785208609977e-13,1.0,-7.904921959209343e-14,8.168005705452704e-06,0.4997287581091372,49.97287581091372
12.797291913702225,59.67148840981694,0.1928032579906474,400.00035548583907,-5.6,0.35900243601201964,-1.076058264681969e-12,1.0,1.533350971082782e-13,7.95491491108839e-06,0.49972875692998686,49.97287569299869
